year	age	length
1978	1	NaN
1979	1	NaN
1980	1	NaN
1981	1	NaN
1982	1	NaN
1983	1	NaN
1984	1	NaN
1985	1	NaN
1986	1	NaN
1987	1	NaN
1988	1	NaN
1989	1	NaN
1990	1	NaN
1991	1	NaN
1992	1	NaN
1993	1	NaN
1994	1	NaN
1995	1	18.433
1996	1	18.9
1997	1	20.65
1998	1	20.167
1999	1	20.433
2000	1	20.733
1978	2	28.6
1979	2	30.5
1980	2	30.65
1981	2	29.9
1982	2	29.333
1983	2	28.4
1984	2	26.95
1985	2	27.5
1986	2	28.533
1987	2	28.867
1988	2	28.3
1989	2	28.033
1990	2	27.2
1991	2	29
1992	2	27.633
1993	2	28.267
1994	2	27.733
1995	2	26.533
1996	2	28.9
1997	2	30.167
1998	2	26.9
1999	2	28.833
2000	2	27.933
1978	3	37.8
1979	3	41.7
1980	3	39.65
1981	3	40.3
1982	3	38.8
1983	3	39.567
1984	3	35.55
1985	3	35.233
1986	3	35.8
1987	3	36.433
1988	3	37.067
1989	3	37.233
1990	3	35.1
1991	3	35.4
1992	3	36.233
1993	3	36.133
1994	3	36.033
1995	3	34.733
1996	3	35.9
1997	3	38.467
1998	3	39.2
1999	3	36.633
2000	3	37.9
1978	4	46.3
1979	4	48.4
1980	4	48.4
1981	4	47.4
1982	4	49.1
1983	4	47.333
1984	4	45.7
1985	4	42.567
1986	4	42.867
1987	4	44.067
1988	4	44.433
1989	4	44.3
1990	4	43.6
1991	4	41.933
1992	4	41.9
1993	4	42.967
1994	4	43.4
1995	4	41.867
1996	4	43.1
1997	4	45.667
1998	4	45.433
1999	4	45.133
2000	4	45.133
1978	5	54.4
1979	5	55.35
1980	5	54.6
1981	5	54.367
1982	5	54.6
1983	5	55.633
1984	5	52.6
1985	5	50.833
1986	5	49.267
1987	5	50.7
1988	5	51.033
1989	5	51.3
1990	5	49.767
1991	5	47.633
1992	5	46.4
1993	5	48.467
1994	5	49.833
1995	5	47.7
1996	5	49.533
1997	5	53.033
1998	5	49.55
1999	5	53.4
2000	5	52.65
1978	6	61.05
1979	6	61.85
1980	6	61.25
1981	6	59.7
1982	6	61.1
1983	6	61.567
1984	6	59.1
1985	6	56.167
1986	6	55.667
1987	6	55.2
1988	6	56.067
1989	6	56.367
1990	6	56.233
1991	6	54.167
1992	6	51.233
1993	6	51.567
1994	6	57.9
1995	6	58.6
1996	6	58.9
1997	6	NaN
1998	6	58.6
1999	6	59.7
2000	6	59.4
1978	7	67.95
1979	7	68.9
1980	7	67
1981	7	64.9
1982	7	65.1
1983	7	64.8
1984	7	63.9
1985	7	61.8
1986	7	59.367
1987	7	60.833
1988	7	58.933
1989	7	60.267
1990	7	60.467
1991	7	59.233
1992	7	57.35
1993	7	57.45
1994	7	NaN
1995	7	NaN
1996	7	66.7
1997	7	68.6
1998	7	62.4
1999	7	NaN
2000	7	NaN
1978	8	72.05
1979	8	75.35
1980	8	72.9
1981	8	69.733
1982	8	69.1
1983	8	67.3
1984	8	67.3
1985	8	69.067
1986	8	64.5
1987	8	63.6
1988	8	64.267
1989	8	63.8
1990	8	63.833
1991	8	63
1992	8	65.6
1993	8	NaN
1994	8	NaN
1995	8	NaN
1996	8	NaN
1997	8	72.6
1998	8	NaN
1999	8	NaN
2000	8	NaN
1978	9	77.95
1979	9	76.25
1980	9	84
1981	9	79.167
1982	9	75.567
1983	9	71.567
1984	9	69.9
1985	9	70.067
1986	9	69.333
1987	9	68.867
1988	9	68.833
1989	9	68.4
1990	9	66.667
1991	9	66.967
1992	9	77.3
1993	9	NaN
1994	9	NaN
1995	9	NaN
1996	9	NaN
1997	9	NaN
1998	9	NaN
1999	9	NaN
2000	9	NaN
1978	10	81.15
1979	10	77.6
1980	10	85.45
1981	10	88.633
1982	10	83.3
1983	10	75.4
1984	10	74.85
1985	10	75.3
1986	10	74.233
1987	10	74.367
1988	10	73.067
1989	10	74.133
1990	10	68
1991	10	69.267
1992	10	70.4
1993	10	NaN
1994	10	NaN
1995	10	NaN
1996	10	NaN
1997	10	NaN
1998	10	NaN
1999	10	NaN
2000	10	NaN
1978	11	88.05
1979	11	86.8
1980	11	94.95
1981	11	95.133
1982	11	89.733
1983	11	83.3
1984	11	81.65
1985	11	79.5
1986	11	76.533
1987	11	82.067
1988	11	81.733
1989	11	77.867
1990	11	75.133
1991	11	74.5
1992	11	NaN
1993	11	NaN
1994	11	NaN
1995	11	NaN
1996	11	NaN
1997	11	NaN
1998	11	NaN
1999	11	NaN
2000	11	NaN
1978	12	91.85
1979	12	82.4
1980	12	91.05
1981	12	99.967
1982	12	100.7
1983	12	89.2
1984	12	86.6
1985	12	86.933
1986	12	78.9
1987	12	82.5
1988	12	88.567
1989	12	81.367
1990	12	77.167
1991	12	81.1
1992	12	NaN
1993	12	NaN
1994	12	NaN
1995	12	NaN
1996	12	NaN
1997	12	NaN
1998	12	NaN
1999	12	NaN
2000	12	NaN
